"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Development and QoE evaluation of an iOS mHealth app for self-controlling and education of patients with heart diseases","S. Hamrioui; J. H. González; G. Castillo; I. de la Torre-Diez; M. Lopez-Coronado","Bretagne Loire and Nantes Universities, France; Technological University of Panama, Panama; Bretagne Loire and Nantes Universities, France; Bretagne Loire and Nantes Universities, France; Bretagne Loire and Nantes Universities, France","2018 13th Iberian Conference on Information Systems and Technologies (CISTI)","28 Jun 2018","2018","","","1","4","In the last years, handheld devices have experienced an incredible boost and expansion and that expansion has propitiated the creation of a new software industry of mobile apps. These devices and apps are used in every aspect of life, including one of the most important, like is health care. This paper presents the development and QoE evaluation of an application called “Take care your Heart”, designed to work on devices with iOS operative system embedded. This app is aimed to help people with heart problems, giving them some advice about some aspects of their disease, monitoring the doses of their medicines, saving different activities related to it and calculating their risk of suffering a cardiovascular accident. Knowing the level of satisfaction of our patients through this study will allow us to channel the efforts towards more friendly and accepted application by people with heart diseases.","","978-989-98434-8-6","10.23919/CISTI.2018.8398633","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8398633","heart disease;iOS;evaluation;QoE","Heart;Quality of experience;Operating systems;Smart phones;Electronic mail;Cardiovascular diseases","","1","","9","","28 Jun 2018","","","IEEE","IEEE Conferences"
"Success factors of information technology and information systems projects — A literature review","A. Goncalves; P. M. Oliveira; J. Varajão","Universidade de Tras-os-Montes e Alto Douro, Vila Real, Vila Real, PT; Universidade de Tras-os-Montes e Alto Douro, Vila Real, Vila Real, PT; Universidade do Minho, Braga, Braga, PT","2018 13th Iberian Conference on Information Systems and Technologies (CISTI)","28 Jun 2018","2018","","","1","7","Information Systems projects are often complex enterprises, since they involve the adoption of information technologies in organizational contexts. As such, they should be carefully managed considering the various aspects that influence their success. This paper presents a literature review focused on the success factors of information technology and information systems projects.","","978-989-98434-8-6","10.23919/CISTI.2018.8398634","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8398634","Success factors;Information Systems;Project Management;Information Technology","Information technology;Information systems;Project management;Stakeholders;Bibliographies;ISO Standards;Process control","","2","","","","28 Jun 2018","","","IEEE","IEEE Conferences"
"A cloud platform for food sensory estimations based on artificial intelligence techniques","J. A. Garcia-Esteban; B. Curto; V. Moreno; I. Gonzalez-Martin; I. Revilla; A. Vivar-Quintana","Departamento de Informática y Automática, Facultad de Ciencias, Universidad de Salamanca; Departamento de Informática y Automática, Facultad de Ciencias, Universidad de Salamanca; Departamento de Informática y Automática, Facultad de Ciencias, Universidad de Salamanca; Departamento de Química Analítica, Nutrición y Bromatología, Facultad de Químicas, Universidad de Salamanca; Area de Tecnología de Alimentos, E.P.S de Zamora, Universidad de Salamanca; Area de Tecnología de Alimentos, E.P.S de Zamora, Universidad de Salamanca","2018 13th Iberian Conference on Information Systems and Technologies (CISTI)","28 Jun 2018","2018","","","1","5","In this paper we present ICatador, a software platform witch make easier the cheese quality control activities. Currently, food quality control can be performed with sensory evaluations or organoleptics of products. Due to this fact, a panel of professional tasters, previously trained, evaluate sensory attributes (appearance, smell, aroma, ...) for the quality control of this product. These activities are tedious, costly and time consuming to carry out. With ICatador tool is possible to virtualize the quality control activities of cheeses, it make that they can be carried out more efficiently and on-line, making possible the total quality control of manufactured products. Through ICatador the food industry has a range of services to ensure consumer acceptance of the product.","","978-989-98434-8-6","10.23919/CISTI.2018.8398635","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8398635","Virtualization of Food Quality Control;Food Sensing Predictions;Food Quiality Estimation","Cloud computing;Instruments;Quality control;Computational modeling;Estimation;Color","","1","","","","28 Jun 2018","","","IEEE","IEEE Conferences"
"Patterns of modeling tree structures. Case study: MongoDB database","M. Labanda-Jaramillo; E. Coronel-Romero; L. Chamba-Eras; M. Roman-Sanchez","Universidad Nacional de Loja, Loja, Loja, EC; Universidad Nacional de Loja, Loja, Loja, EC; Universidad Nacional de Loja, Loja, Loja, EC; Unidad Educativa Fiscomisional “Nuestra Señora del Rosario”, Ministerio de Educación, Catamayo, Ecuador","2018 13th Iberian Conference on Information Systems and Technologies (CISTI)","28 Jun 2018","2018","","","1","5","This work includes the analysis and evaluation of the use of different patterns to store data structures that are conceptually organized as a tree and generally can be populating database tables not normalized relational data or other sources of unstructured data such as spreadsheets, text files and more. The type of storage that has been chosen is a NoSQL database-oriented documents, specifically MongoDB it is an early and popular alternative within its scope. Our analysis considers five patterns: Parent References, Child References, Array of Ancestors, Materialized Paths and Nested Sets. An experiment was designed to measure the performance of the database regarding the speed of insert operations, query and indexing as well as the required storage capacity according to each standard used. The database was deployed in the cloud provider as a service MongoLab. The results of the experiment along with their analysis are presented separately showing two tables and 3 graphs appropriately to contrast the differences and approaches between the yield between different patterns.","","978-989-98434-8-6","10.23919/CISTI.2018.8398636","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8398636","pattern;data structures;database;MongoDB;education","Computer science;Databases;Knowledge management;Sentiment analysis;Data structures;Electronic publishing;Computational modeling","","1","","","","28 Jun 2018","","","IEEE","IEEE Conferences"
"Computer system for the management and scientific divulgation of the “Universidad Nacional de Loja”","M. Sanchez-Carrion; E. Coronel-Romero; M. Labanda-Jaramillo; L. Chamba-Eras; R. Guaman-Quinche; M. Roman-Sanchez","Universidad Nacional de Loja, Loja, Loja, EC; Universidad Nacional de Loja, Loja, Loja, EC; Universidad Nacional de Loja, Loja, Loja, EC; Universidad Nacional de Loja, Loja, Loja, EC; Universidad Laica Eloy Alfaro de Manabi, Manta, ManabÃ­, EC; Unidad Educativa Fiscomisional “Nuestra Señora del Rosario” Ministerio de Educación, Catamayo, Ecuador","2018 13th Iberian Conference on Information Systems and Technologies (CISTI)","28 Jun 2018","2018","","","1","6","This article presents the computer system for the management and publication of scientific production (SIPAC), which provides information to members of higher education institutions in Ecuador (“Universidad Nacional de Loja”), with the management and publication of scientific production in the different areas of knowledge. SIPAC allows researchers to visualize scientific content, create and identify related research groups, dissemination of the results of research projects, among others. The SIPAC has been developed considering the requirements that the “Consejo de Educación Acreditación, y Aseguramiento de la Calidad de la Educación Superior (CEAACES)”, requests in the accreditation processes of higher education in Ecuador.","","978-989-98434-8-6","10.23919/CISTI.2018.8398637","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8398637","Web site;research;scientific production;Web 2.0;education","Software;Web 2.0;Production;Visualization;Portals;Accreditation","","","","","","28 Jun 2018","","","IEEE","IEEE Conferences"
"Systematic mapping study to identify trends in the application of smart technologies","G. Maestre-Gongora; R. F. Colmenares-Quintero","Universidad Cooperativa de Colombia, Bogota, CO; Universidad Cooperativa de Colombia, Bogota, CO","2018 13th Iberian Conference on Information Systems and Technologies (CISTI)","28 Jun 2018","2018","","","1","6","Smart Technologies include hardware, software and communications systems that are capable of automatically adapting and modifying their behavior (parameters) generating information and knowledge to support decision making. This paper focuses on identifying trends in the subject of intelligent technologies, through systematic mapping to answer questions about the fields, research areas and types of intelligent technologies present in the literature. The mapping study was conducted using a review protocol and analyzing 367 scientific database records, using specialized bibliometric analysis software. The results can help to understand the prevailing needs and trends, identifying points that still require further research, since important aspects related to particular points such as the conceptual development of this topic and the emerging areas in the application of the same are important given the increase in publications and relevance of this topic in recent years.","","978-989-98434-8-6","10.23919/CISTI.2018.8398638","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8398638","Smart Technologies;network;Mappi ng;tecnol ogies;smart cities","Software;Hardware;Market research;Systematics;Decision making;Protocols","","2","","","","28 Jun 2018","","","IEEE","IEEE Conferences"
"Patterns for semantic human behavior analysis","D. R. C. SalazarAutores; C. B. G. Maldonado; H. F. G. Alvarado; D. X. C. Salazar","Universidad Tecnologica Indoamerica - Quito, Quito, Pichincha, EC; Universidad Tecnologica Indoamerica - Quito, Quito, Pichincha, EC; Universidad Tecnica de Ambato, Ambato, Tungurahua, EC; Unidad Educativa Miguel de Cervantes, Cotopaxi, Ecuador","2018 13th Iberian Conference on Information Systems and Technologies (CISTI)","28 Jun 2018","2018","","","1","5","The research conducted in recent years that are described in the next section were used as a basis for the research tasks of this thesis proposal where the objective is to investigate and use adaptive techniques to analyze videos detecting semantic patterns of human behavior. Make an analysis in the analysis of scenes in order to classify contexts and track the objects presented in a video. The fact that you are ready for the exam is what the object of study has to do in a given context and compares what you really should do. Although the results of these investigations can be applied in multiple contexts, and especially its technological transfer to the area of health. In particular, we work with information related to the body movements of people with Alzheimer's. According to the opinion of the specialized medical professionals, the corporal movements are modified as the disease progresses. Therefore, the result of this type of change is the way in which the benefits of the corresponding medical treatment are increased.","","978-989-98434-8-6","10.23919/CISTI.2018.8398639","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8398639","Patterns;Behavior;Classifiers;Algorithms","Videos;Monitoring;Wireless sensor networks;Semantics;Alzheimer's disease;Biomedical monitoring;XML","","1","","","","28 Jun 2018","","","IEEE","IEEE Conferences"
"Financial anomalies in the electricity market: Empirical analysis of spot prices","A. A. A. Monica; S. B. Botero; H. H. B. Jaime","Universidad de Medellin, Medellin, CO; Universidad Nacional de Colombia, Bogota, CO; Universidad de Medellin, Medellin, CO","2018 13th Iberian Conference on Information Systems and Technologies (CISTI)","28 Jun 2018","2018","","","1","7","A key element that must consider the electricity generators in their operation planning process is the electricity price forecasting. Thus, for this task it is fundamental to identify a forecasting tool. In this direction, this paper presents forecast models for the price of electricity in the Colombian market. The different models are based in different schemes such as: autoregressive mobile media, generalized processes of conditional autoregressive heteroscedasticity (ARMA-GARCH), seasonal autoregressive models with mobile average and exogenous regressors (SARIMAX-GARCH). Likewise, using the theory of markets efficiency hypothesis the results show the presence of monthly calendar effects and the presence of nonlinear and asymmetric volatility which changes over time together with an inverse leverage effect.","","978-989-98434-8-6","10.23919/CISTI.2018.8398640","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8398640","Electricity markets;market anomalies;SARIMA-GARCH;seasonality;efficiency hypothesis","Autoregressive processes;Media;Instruments;Silicon compounds;Electricity supply industry;Forecasting;Electric shock","","","","","","28 Jun 2018","","","IEEE","IEEE Conferences"
"Data visualization techniques for real-time information — A custom and dynamic dashboard for analyzing surveys' results","R. Toasa; M. Maximiano; C. Reis; D. Guevara","Computer Science and Communication Research Centre (CIIC), Polytechnic Institute of Leiria, Portugal; Computer Science and Communication Research Centre (CIIC), Polytechnic Institute of Leiria, Portugal; Computer Science and Communication Research Centre (CIIC), Polytechnic Institute of Leiria, Portugal; Facultad de Ingenieria en Sistemas, Universidad Tecnica de Ambato, Ecuador","2018 13th Iberian Conference on Information Systems and Technologies (CISTI)","28 Jun 2018","2018","","","1","7","To achieve the most understandable and accurate display of information, a study on the available techniques of data visualization for real-time information must be made. Customizing existing platforms and designing specific boards, are among the important task to perform an accurate visualization of the information. In this paper, we conduct a literature review of data visualization, its techniques and existing dashboard platforms. We implemented a generic and dynamic dashboard based on real-time information with the aim to assess the impact of the available Data Visualization Techniques in the developed dashboard. Therefore, our Dashboard users will be able to interact with the information, based on an initial set of hints, charts, tables and reports, produced by the Dashboard itself. This will allow us to test an existing set of data visualization techniques and create a new tailored dashboard, showing that dashboards can become a unique and powerful means to provide information.","","978-989-98434-8-6","10.23919/CISTI.2018.8398641","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8398641","Data visualization techniques;dashboard;real-time information;platform;tailored","Data visualization;Visualization;Tools;Business;Real-time systems;Correlation;Mobile handsets","","15","","32","","28 Jun 2018","","","IEEE","IEEE Conferences"
"Evaluation of BPM tools open source/freeware","M. Sousa; N. Lopes; Ó. Ribeiro; J. Silva","Instituto Politécnico do Cávado e Ave, Barcelos, Portugal; Instituto Politécnico do Cávado e Ave, Barcelos, Portugal; Instituto Politécnico do Cávado e Ave, Barcelos, Portugal; Instituto Politécnico do Cávado e Ave, Barcelos, Portugal","2018 13th Iberian Conference on Information Systems and Technologies (CISTI)","28 Jun 2018","2018","","","1","6","In recent decades, Due the diversity of BPM tools (commercial or open source/freeware solutions), the appropriate selection of a tool by an organization becomes increasingly difficult. This paper defines a framework to guide the evaluation of BPM tools open source/freeware, which focuses into the BPM lifecycle and includes a set of technological criteria. This evaluation framework has been used to classify the implementation of a case study in the selection BPM tools. The result of this paper presents a comparative analysis between the BPM tools to help the organizations in the decision-making and to justify the adoption of a BPM tool.","","978-989-98434-8-6","10.23919/CISTI.2018.8398642","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8398642","Business Process Management;BPM Lifecycle;BPM Tools","Unified modeling language;Tools;Business process management;Organizations;Process control;Conferences;Decision making","","","","","","28 Jun 2018","","","IEEE","IEEE Conferences"
