"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Conceptualization of a support system for the mentally ill: A proposal for Portugal","E. M. L. Tavares; D. F. Polónia","Departamento de Economia, Gestão e Engenharia Industrial, Universidade de Aveiro, Aveiro, Portugal; Departamento de Economia, Gestão e Engenharia Industrial, Universidade de Aveiro, Aveiro, Portugal","2014 9th Iberian Conference on Information Systems and Technologies (CISTI)","14 Aug 2014","2014","","","1","6","Health has always been and always will be the mainstay of modern societies. From this axiomatic truth, the primary objective of this dissertation is focused on the analysis and specification of an information system that would allow better monitoring of the mentally ill. The approach to health in Portugal is still done in a stray without the necessary interaction of various health professionals on what is of paramount importance in health: the best interests of the patient. Given that, in contemporary societies, mental health has become all the more complex and troubling, with increasing prevalence. It is in our view essential to concentrate in creating sustainable alternatives, allowing not only the survival of the NHS, as well as the improvement of access to medicines and health services.","2166-0727","978-9-8998-4343-1","10.1109/CISTI.2014.6876861","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6876861","Mental Health;Information Systems;Recommendations;Participation","Medical diagnostic imaging;Monitoring;Information systems;Biomedical monitoring;Proposals;Abstracts;Face","","","","34","","14 Aug 2014","","","IEEE","IEEE Conferences"
"Sky computing: Exploring the aggregated cloud resources — Part II","A. Monteiro; C. Teixeira; J. S. Pinto","Department of Electronics, Telecommunications and Informatics, University of Aveiro, Aveiro, Portugal; Department of Electronics, Telecommunications and Informatics, University of Aveiro, Aveiro, Portugal; Department of Electronics, Telecommunications and Informatics, University of Aveiro, Aveiro, Portugal","2014 9th Iberian Conference on Information Systems and Technologies (CISTI)","14 Aug 2014","2014","","","1","6","The Cloud wide spawn and maturing has brought the attention of High-Performance Computing consumers, willing to move to its potential. The use of those resources to make intensive computing proficiently is a requirement to achieve the final goal of supporting HPC applications. The big challenge here is managing the combined resources of available Clouds, public or private and interoperating between them without an excessive efficiency loss. This work reflects the continuation of the authors' work, describing the results of the proposed architecture on the first part.","2166-0727","978-9-8998-4343-1","10.1109/CISTI.2014.6876862","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6876862","Cloud Computing;High-Performance Computing;distributed architecture;resource optimization","Cloud computing;Open source software;Clouds;Computer architecture;Hardware","","2","","33","","14 Aug 2014","","","IEEE","IEEE Conferences"
"Architecture of information system for monitoring of photovoltaic plants","A. N. Pereira; P. Tomé; P. M. Costa; J. Pascoal","Instituto Politecnico de Viseu, Viseu, Viseu, PT; Instituto Politecnico de Viseu, Viseu, Viseu, PT; Instituto Politecnico de Viseu, Viseu, Viseu, PT; Martifer Solar, Technical Department - Automation and Control Systems, Oliveira de Frades, Portugal","2014 9th Iberian Conference on Information Systems and Technologies (CISTI)","14 Aug 2014","2014","","","1","6","The monitoring and supervision systems are crucial to the operation of photovoltaic plants (PV), allowing the gathering of data about its operation. This data, after proper processing, allow to obtain performance indicators, the establishment of comparisons, the identification of behavior trends, the detection and location of malfunctions in equipment / systems and the definition of optimized maintenance plans. The most obvious consequence of the use of monitoring and supervision systems is the improvement of the technical and economical performance of PV plants. This article presents an architecture of a system able to provide information about the operation of a PV plant, regardless of its size, in a mobile device. The proposed architecture includes important aspects concerning the design of information systems, namely concerning the system flexibility and security.","2166-0727","978-9-8998-4343-1","10.1109/CISTI.2014.6876863","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6876863","Photovoltaic plants;monitoring;supervision;architecture;Architectures of Information Systems;Mobile devices","Monitoring;Androids;Humanoid robots;Information systems;Photovoltaic systems;XML","","2","","33","","14 Aug 2014","","","IEEE","IEEE Conferences"
"OpenEHR aware multi agent system for inter-institutional health data integration","P. Vieira-Marques; J. Patriarca-Almeida; S. Frade; G. Bacelar-Silva; S. Robles; R. Cruz-Correia","CINTESIS - Center for research in health technologies and information systems, Faculdade de Medicina Universidade do Porto, Porto, Portugal; CINTESIS - Center for research in health technologies and information systems, Faculdade de Medicina Universidade do Porto, Porto, Portugal; CINTESIS - Center for research in health technologies and information systems, Faculdade de Medicina Universidade do Porto, Porto, Portugal; Department of Information and Communication Engineering, Universitat Autonoma de Barcelona, Barcelona, Spain; CINTESIS - Center for research in health technologies and information systems, Faculdade de Medicina Universidade do Porto, Porto, Portugal; CINTESIS - Center for research in health technologies and information systems, Faculdade de Medicina Universidade do Porto, Porto, Portugal","2014 9th Iberian Conference on Information Systems and Technologies (CISTI)","14 Aug 2014","2014","","","1","6","Most patients receive care from many health care providers, and consequently their health data is dispersed over many institutions' paper and EHR-based record systems. This reality leads to a fragmented system of storing and retrieving essential patient data that impedes optimal care leading to the coexistence of somewhat autistic systems. Providing means for scattered clinical information to be congregated where and when needed may have a strong impact on healthcare quality. Interoperability is a major requisite for effectively sharing information between systems. Standards like openEHR play an important role on achieving interoperability. Agents are software entities, which can embody different perspectives of the surrounding environment and act accordingly. They can perceive the dynamic character of the environment and update their knowledge, enabling pro-activeness regarding actions that are better suited according to a particular user and a given set of goals. In this work we extend our previous work of building a VEPR for inter-institutional data integration with the inclusion of openEHR usage for querying and storing data in order to pursuit the efforts towards Health Information Systems semantic interoperability.","2166-0727","978-9-8998-4343-1","10.1109/CISTI.2014.6876864","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6876864","multi-agent system;openEHR;integration;interoperability;Health Patient Record","Interoperability;XML;Information systems;Semantics;Databases;Medical services;Data models","","2","","14","","14 Aug 2014","","","IEEE","IEEE Conferences"
"Music-AR: Software for teaching children music perception","L. S. Gomez; V. F. Martins; V. P. Ruiz","Universidade Presbiteriana Mackenzie, Sao Paulo, SP, BR; Faculdade de Computação e Informática, Universidade Presbiteriana Mackenzie, São Paulo - Brasil; Universidade Presbiteriana Mackenzie, Sao Paulo, SP, BR","2014 9th Iberian Conference on Information Systems and Technologies (CISTI)","14 Aug 2014","2014","","","1","6","Since the massification of the medias and non compulsory musical education in Brazilian schools, there is a loss of sound/music perception of Brazilian children. This fact, associated with the lack of software for the teaching of sound perception, generated the Music-AR, software that uses Augmented Reality technology for the teaching of sound properties, such as timbre, pitch and sound intensity, based on the Murray Schafer study, a major Canadian music educator. There were two small applications for that: the first one allows the child to manipulate virtual objects linked to sounds, this way, the child can loosen and stretch virtual objects relating them to the (bass and treble) sound pitch; the second focus on the concept of sound intensity, associating it to virtual animals been far or near to the children. Tests were applied and the results are presented in this work.","2166-0727","978-9-8998-4343-1","10.1109/CISTI.2014.6876865","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6876865","Ensino de Música;Percepção Musical;Realidade Aumentada;Jogos Sérios","Software;Visualization;Timbre;Education;Instruments;Art","","","","13","","14 Aug 2014","","","IEEE","IEEE Conferences"
"SBIAES — Business intelligence system for analysis of access to higher education: The case of the Polytechnic Institute of Coimbra","T. Nobre; A. Trigo; P. Sanches","Instituto Politecnico de Coimbra Instituto Superior de Contabilidade e Administracao de Coimbra, Coimbra, Coimbra, PT; Instituto Politecnico de Coimbra Instituto Superior de Contabilidade e Administracao de Coimbra, Coimbra, Coimbra, PT; Instituto Politecnico de Coimbra Instituto Superior de Contabilidade e Administracao de Coimbra, Coimbra, Coimbra, PT","2014 9th Iberian Conference on Information Systems and Technologies (CISTI)","14 Aug 2014","2014","","","1","6","In recent years there has been a significant reduction in the number of students who are applying to higher education, which intensifies the competition among institutions of higher education, universities and polytechnics, for attracting students. A thorough knowledge of the candidates and their preferences in terms of courses and major competitors' institutions is essential to the strategic planning of higher education institutions both in terms of promotion and in the level of training offered. In this regard, the Polytechnic Institute of Coimbra decided to develop a tool to analyze data from the National Competition for Access to Higher Education, the SBIAES — Business Intelligence System for analysis of Access to Higher Education, consists of a Data Warehouse and a client application in Microsoft Excel, using the PowerPivot and Power View technologies. This system allows to the decision makers of the Polytechnic Institute of Coimbra to analyze quickly and intuitively the leading indicators, such as rational and non-rational preferences.","2166-0727","978-9-8998-4343-1","10.1109/CISTI.2014.6876866","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6876866","Access to Higher Education;National Competition for Access to Higher Education;Business Intelligence;Data Warehouse","Spreadsheet programs;Business;Education;Servers;Bismuth;Instruments;Data warehouses","","4","","15","","14 Aug 2014","","","IEEE","IEEE Conferences"
"Work in progress: Online resource platform for mathematics education","M. Llorens; E. Nevin; E. Mageean","School of Multi-Disciplinary Technologies; School of Civil & Structural Engineering, Dublin Institute of Technology Ireland; School of Multi-Disciplinary Technologies","2014 9th Iberian Conference on Information Systems and Technologies (CISTI)","14 Aug 2014","2014","","","1","4","Mathematics is intrinsic to engineering and as such plays an integral role in the education of engineers. New challenges are being faced in higher education particularly in the areas of student motivation, engagement and attainment. As a result mathematics is often the focus of engineering education research. Traditional methods of delivery such as lectures and tutorials need to evolve to counter these challenges with new pedagogical approaches explored including the use of new technologies. Today's students are immersed in an increasingly technological world and are willing to adapt to new technological advances. This paper describes a study being undertaken in the College of Engineering and the Built Environment at the Dublin Institute of Technology to develop and explore the use of a Sharable Content Object Reference Model (SCORM) that integrates a web-based platform for the study of mathematics as part of an active learning constructivist setting. Students will utilise graphics tablets to create online content consisting of solutions to mathematical problems which will then be used by other students to reinforce core concepts. The platform will provide active support to engineering students especially those in their first year of study and mature students returning to education. It is expected that early use of the platform will help identify areas of weakness and provide the self-learning environment required for students to become more proficient in those areas. By challenging the student to demonstrate an active engagement in their learning and by encouraging the meaningful use of technology in the classroom, an improvement in the quality of learning that students experience should be realised.","2166-0727","978-9-8998-4343-1","10.1109/CISTI.2014.6876867","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6876867","engineering mathematics;active learning;student engagement;student learning experience;graphics tablets","Graphics;Least squares approximations;Engineering education;Tutorials;Educational institutions","","","","11","","14 Aug 2014","","","IEEE","IEEE Conferences"
"VDI healthcare management: Surgical oncology, management model and formalization of knowledge: Case studies CRC (colorectal cancer)","C. R. Gil; R. A. Martínez; C. E. Blanco; T. G. de Francisco; T. G. Elosúa; J. A. Chaves","Departamento de I+D+i y Proyectos, Fundación Centro de Supercomputación de Castilla y León (FCSCL), León (España); Fundación Centro de Supercomputación de Castilla y León (FCSCL), León (España); Fundación Centro de Supercomputación de Castilla y León (FCSCL), León (España); Jefe de Servicio, servicio de Cirugía General, Complejo Asistencial Universitario de León - CAULE León (España); Licenciado Especialista Cirugía General, Complejo Asistencial Universitario de León - CAULE León (España); Licenciado Especialista Cirugía General, Complejo Asistencial Universitario de León - CAULE León (España)","2014 9th Iberian Conference on Information Systems and Technologies (CISTI)","14 Aug 2014","2014","","","1","6","Through the Project Development of a federated infrastructure network for the generation of virtualization services of workstation (FI4VDI, Infrastruture Federation — Virtual Desktop Infrastructure) is intended to establish joint initiatives of R&D+i to reinforc the technological research system — strategic actions regarding innovation in the field of digital economy and society, and the development of a prototype VDI of management and formalization of health data through a Cloud Computing infrastructure based on case studies in different health specialties involved, in particular in the field of Surgical Oncology, on case studies of colorectal cancer — CRC. In Spain, the incidence of this disease in the region of Castilla y León reaches maximum values, with a high rate in the province of León, which implies an annual excess generation data (epidemiological and others), highlighting the need for a management system that allows them access, entry, modification and distribution, with the ultimate goal of creating a system for predicting and intelligent analysis of this disease. Further, genomic sequencing data of registered individuals will be imported, so there is the possibility of developing a future line of research which has the aim to clarify and determine all genetic variants that increase the risk of CRC.","2166-0727","978-9-8998-4343-1","10.1109/CISTI.2014.6876868","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6876868","cloud computing;virtualization;medical informatics;management of health data;oncological pathology","Cloud computing;Cancer;Computational modeling;Europe;Tumors;Colon;Surgery","","","","15","","14 Aug 2014","","","IEEE","IEEE Conferences"
"Rigor, order and shape. Livio Vacchini: Vacchini house in costa tenero (1991–92): Dynamics between construction and architecture","L. V. Arnella","Departamento de Arquitectura de la Universidad de Arquitectura de la Salle Barcelona, Universidad Ramón Llull., IAM - Investigación Arquitectura Mediterránea, Barcelona, España, Febrero 2014","2014 9th Iberian Conference on Information Systems and Technologies (CISTI)","14 Aug 2014","2014","","","1","6","In Livio Vacchini´s works, the structural skeleton formalizes the architectural unity language, through its analytical rigor and an order that gives proportion and hierarchy to the piece. The architect needs the new systems and information tecnologies, to achieve the abstraction and rigor required to reach the universal object. Everything happens between his argumentative logic and his refined construction techniques.","2166-0727","978-9-8998-4343-1","10.1109/CISTI.2014.6876869","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6876869","architectural order;trilite system;structure;golden mean;logic;construction technique;detail","Instruments;Silicon;Shape;Skeleton;Surges","","","","10","","14 Aug 2014","","","IEEE","IEEE Conferences"
"Educational experience in teaching geographic information systems in architecture","P. Garcia-Almirall; E. R. Domínguez; F. V. Dalmau; J. M. C. Sarmiento","Universitat Politecnica de Catalunya, Barcelona, Catalunya, ES; Universitat Politecnica de Catalunya, Barcelona, Catalunya, ES; Universitat Politecnica de Catalunya, Barcelona, Catalunya, ES; Universitat Politecnica de Catalunya, Barcelona, Catalunya, ES","2014 9th Iberian Conference on Information Systems and Technologies (CISTI)","14 Aug 2014","2014","","","1","6","Teaching Geographic Information Systems in the degree of Architecture raises a number of challenges due to the specific needs of both architecture students and trained architects. This paper explains the teaching methodology of the elective “Urban Studies with GIS technology” than has been taught in the Barcelona School of Architecture since 1996. The results of the surveys conducted on the course students about different aspects of the subject, regarding the applicability in their studies and work of the concepts learnt are also discussed.","2166-0727","978-9-8998-4343-1","10.1109/CISTI.2014.6876870","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6876870","Learning;Teaching;Information Technologies;Architecture;Geographic Information Systems","Software;Design automation;Three-dimensional displays;Google;Solid modeling;Earth;Education","","1","","12","","14 Aug 2014","","","IEEE","IEEE Conferences"
