id,name,affiliations,affiliation,countries,regions,country,region
0408ee0d9ae6fe794e6452d931a3f867,E. E. González,['Universidad Israel'],['Ecuador'],['South America'],Universidad Israel,Ecuador,South America
328aa5d5865f02c5eef5d29935baba7d, F. Morales,['Universidad Israel'],['Ecuador'],['South America'],Universidad Israel,Ecuador,South America
4a159f47b7f8ce46f3053dde109e4edd, E. Lozano,['Universidad Israel'],['Ecuador'],['South America'],Universidad Israel,Ecuador,South America
de4b97dbe91ba215e4b75ef5e14bdd3d,E. A. D. Moresi,['Universidade Católica de Brasília'],['Brazil'],['South America'],Universidade Católica de Brasília,Brazil,South America
59d20d1234afd896fe0f9f131c263bb7, I. Pinho,"['university of aveiro', 'university of aveiro']","['Portugal', 'Portugal']","['Europe', 'Europe']",university of aveiro,Portugal,Europe
90e303be7694c35ea935fe635aa7c5de, A. P. Costa,"['university of aveiro', 'university of aveiro', 'university of minho']","['Portugal', 'Portugal', 'Portugal']","['Europe', 'Europe', 'Europe']",university of aveiro,Portugal,Europe
e6b01ffe99b833bf4b0a5ae4dbfdb523,J. Costa,"['polytechnic institute of bragança', 'ISLA   Instituto Politécnico de Gestão e Tecnologia', 'university of lisbon', 'university of aveiro', 'Escola Superior de Tecnologia e Gestão de Viseu', 'polytechnic institute of coimbra', 'Polytechnic Institute of Leiria', 'Universidade de Trás-os-Montes e Alto Douro', 'university of porto']","['Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal']","['Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe']",polytechnic institute of bragança,Portugal,Europe
415cf41fdffe25dbf49b41494ac568e2, V. Gonçalves,"['polytechnic institute of bragança', 'polytechnic institute of castelo branco']","['Portugal', 'Portugal']","['Europe', 'Europe']",polytechnic institute of bragança,Portugal,Europe
4b3cdd326efcb8bb94a633bb5f6bf99f,C. C. V. Lewis,['Universidad Técnica de Machala'],['Ecuador'],['South America'],Universidad Técnica de Machala,Ecuador,South America
202e966f9590e97882df818323198ff2, T. E. R. Miroslava,['Universidad Técnica de Machala'],['Ecuador'],['South America'],Universidad Técnica de Machala,Ecuador,South America
6e6913dd90f1cc3dc0a1eecfa9803627, I. E. W. Henry,['Universidad Técnica de Machala'],['Ecuador'],['South America'],Universidad Técnica de Machala,Ecuador,South America
d69288b923cbdd304cf742a59a851140, S. J. M. Elizabeth,['Universidad Israel'],['Ecuador'],['South America'],Universidad Israel,Ecuador,South America
22fe41ac46b1507e0054623c1ac031bd,G. Cardoso,['instituto universitário de lisboa'],['portugal'],['Europe'],instituto universitário de lisboa,portugal,Europe
fb0395b4eb4c3459dc044dc42bf03123, B. Alturas,"['instituto universitário de lisboa', 'instituto universitário de lisboa', 'instituto universitário de lisboa', 'instituto universitário de lisboa', 'instituto universitário de lisboa', 'instituto universitário de lisboa', 'instituto universitário de lisboa', 'instituto universitário de lisboa']","['portugal', 'portugal', 'portugal', 'portugal', 'portugal', 'portugal', 'portugal', 'portugal']","['Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe']",instituto universitário de lisboa,portugal,Europe
5f77954a9b8e7cdc9c2a06036143b5af, C. Foà,['instituto universitário de lisboa'],['portugal'],['Europe'],instituto universitário de lisboa,portugal,Europe
aa6653ff3ba7ffff3fa0db5169c15ab1,N. S. Morais,"['Instituto Politécnico de Viseu', 'polytechnic institute of viana do castelo']","['Portugal', 'Portugal']","['Europe', 'Europe']",Instituto Politécnico de Viseu,Portugal,Europe
a814986d62ce44d019915e70ed7752bb, J. Martins,"['Instituto Politécnico de Viseu', 'polytechnic institute of bragança', 'AquaValor – Centro de Valorização e Transferência de Tecnologia da Água', 'institute for systems engineering and computers', 'Universidade de Trás-os-Montes e Alto Douro', 'Universidade de Trás-os-Montes e Alto Douro', 'institute for systems engineering and computers', 'university of porto', 'Universidade de Trás-os-Montes e Alto Douro']","['Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal']","['Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe']",Instituto Politécnico de Viseu,Portugal,Europe
0619fe50d88cb7be6c8b1506b2d07844, M. Midões,['Instituto Politécnico de Viseu'],['Portugal'],['Europe'],Instituto Politécnico de Viseu,Portugal,Europe
9f1010e516eebac2ca4a3d16dcc7ecf0,T. Pestana,['Instituto Politécnico de Viseu'],['Portugal'],['Europe'],Instituto Politécnico de Viseu,Portugal,Europe
ced0658807157ee2d482e6225f434b21, R. Raposo,"['university of aveiro', 'university of aveiro']","['Portugal', 'Portugal']","['Europe', 'Europe']",university of aveiro,Portugal,Europe
77dd63bd4388abf7a8d3f9bddd82d0e9,D. Lancheros-Cuesta,"['Universidad Cooperativa de Colombia', 'Universidad de La Salle  AVARC GI', 'Universidad de La Salle']","['Colombia', 'Colombia', 'Colombia']","['South America', 'South America', 'South America']",Universidad Cooperativa de Colombia,Colombia,South America
f5492e0be5ba92a2c3965017cdfe9b72, D. Felipe-Vallejo,['Universidad Cooperativa de Colombia'],['Colombia'],['South America'],Universidad Cooperativa de Colombia,Colombia,South America
b9071b3c68ea7a76bff15a7b4712150d,R. Guerreiro,['polytechnic institute of porto'],['Portugal'],['Europe'],polytechnic institute of porto,Portugal,Europe
8c0cdc726fa528b7fb842032f8d78438, A. S. Santos,"['polytechnic institute of porto', 'university of minho']","['Portugal', 'Portugal']","['Europe', 'Europe']",polytechnic institute of porto,Portugal,Europe
11b258d53a8d9fcbb8f717ea0fd4a279, A. Tereso,['university of minho'],['Portugal'],['Europe'],university of minho,Portugal,Europe
c6d5bf683353e8ac910e0adcb6c43d83,G. Aplugi,['Instituto Superior Técnico (IST)'],['Portugal'],['Europe'],Instituto Superior Técnico (IST),Portugal,Europe
2507fd2c15b2cbdc9fd822faf6dbba25, A. Santos,"['universidade aberta', 'Universidade de Trás-os-Montes e Alto Douro', 'Instituto Federal da Paraíba', 'Instituto Superior de Educacao e Ciencias', 'polytechnic institute of coimbra', ' IAD']","['Portugal', 'Portugal', 'Brazil', 'Portugal', 'Portugal', 'Portugal']","['Europe', 'Europe', 'South America', 'Europe', 'Europe', 'Europe']",universidade aberta,Portugal,Europe
2ced76369f320154b107b32fee546ce4,I. -E. Adams,['University of Cape Town'],['South Africa'],['Africa'],University of Cape Town,South Africa,Africa
260d2750b2b23fe74078d911cc2ad138, J. -P. Van Belle,['University of Cape Town'],['South Africa'],['Africa'],University of Cape Town,South Africa,Africa
a5ed4455becda2d030a1f15c2e9dfb9a, G. Oosterwyk,['University of Cape Town'],['South Africa'],['Africa'],University of Cape Town,South Africa,Africa
40d75720a6d2f333d01751a391dd6d7e,N. Benavides,['Grupo de Investigación en Sistemas Inteligentes (WiCOM Energy) and Ad Hoc Networks Research Center (CIRAD)'],['Ecuador'],['South America'],Grupo de Investigación en Sistemas Inteligentes (WiCOM Energy) and Ad Hoc Networks Research Center (CIRAD),Ecuador,South America
3208d4f31fe0da4b7335ae026b2da18b, R. A. Lara-Cueva,"['Grupo de Investigación en Sistemas Inteligentes (WiCOM Energy) and Ad Hoc Networks Research Center (CIRAD)', 'Ad Hoc Networks Research Center (CIRAD)', 'Universidad de Las Fuerzas Armadas ESPE', 'Universidad de las Fuerzas Armadas']","['Ecuador', 'Ecuador', 'Ecuador', 'Ecuador']","['South America', 'South America', 'South America', 'South America']",Grupo de Investigación en Sistemas Inteligentes (WiCOM Energy) and Ad Hoc Networks Research Center (CIRAD),Ecuador,South America
9278c961178d2224d04826a135b7a0f5,Y. Mártir,['instituto universitário de lisboa'],['portugal'],['Europe'],instituto universitário de lisboa,portugal,Europe
5182ee3de7c6832e7576169812f26c01, A. P. Alturas,['Escola de Comércio de Lisboa Lisboa'],['Portugal'],['Europe'],Escola de Comércio de Lisboa Lisboa,Portugal,Europe
ac48be6f2704493927193ce0573bcf6c,R. L. d. Souza,['Universidade Municipal de São Caetano do Sul São Caetano do Sul (SP)'],['Brazil'],['South America'],Universidade Municipal de São Caetano do Sul São Caetano do Sul (SP),Brazil,South America
5ee8810dcb526063252a63da3ed2e7b4, O. L. d. Oliveira,['Centro Universitário Campo Limpo Paulista Campo Limpo Paulista (SP)'],['Brazil'],['South America'],Centro Universitário Campo Limpo Paulista Campo Limpo Paulista (SP),Brazil,South America
21f52dd747b2aedf50f2efeec762cbf8,L. B. Angarita,['Universidad Nacional de Colombia Sede Manizales'],['Colombia'],['South America'],Universidad Nacional de Colombia Sede Manizales,Colombia,South America
95e2ff8a4eac89bd518885e488af3a04, D. J. V. Cerón,['Universidad Nacional de Colombia Sede Manizales'],['Colombia'],['South America'],Universidad Nacional de Colombia Sede Manizales,Colombia,South America
ed7be61ec4657c224199dd6127b15e27,C. Silveira,"['instituto politécnico da guarda', 'instituto politécnico da guarda', ' ESTG IPG', 'instituto politécnico da guarda']","['Portugal', 'Portugal', '', 'Portugal']","['Europe', 'Europe', '', 'Europe']",instituto politécnico da guarda,Portugal,Europe
7af253dfaa324ba13f85b4fb3fd9b183, L. Reis,"['Instituto Politécnico de Setúbal', 'Polytechnic Institute of Setúbal', 'university of aveiro']","['Portugal', 'Portugal', 'Portugal']","['Europe', 'Europe', 'Europe']",Instituto Politécnico de Setúbal,Portugal,Europe
0ac0c5958ca1234a8b3d4223b224ff9a, T. Salvado,"['instituto politécnico da guarda', 'instituto politécnico da guarda']","['Portugal', 'Portugal']","['Europe', 'Europe']",instituto politécnico da guarda,Portugal,Europe
a6490a73fc37004f2f6b276e4b4ff860,V. -T. S. Lourdes,['Universidad Tecnológica del Perú'],['Peru'],['South America'],Universidad Tecnológica del Perú,Peru,South America
e1be2502a68a6c7b6b52d88a46df0872, V. -C. L. Alberto,['Universidad Tecnológica del Perú'],['Peru'],['South America'],Universidad Tecnológica del Perú,Peru,South America
8236b523d3ba74e82736a5ee0b57d97d, M. -O. G. Segundo,['Universidad Tecnológica del Perú'],['Peru'],['South America'],Universidad Tecnológica del Perú,Peru,South America
71a98f1faf19684abbf863c1c8278552,A. Ramos,"['instituto politécnico da guarda', 'university of minho']","['Portugal', 'Portugal']","['Europe', 'Europe']",instituto politécnico da guarda,Portugal,Europe
afdb85eaea71c757731591036cd9c840, V. B. Jesus,['instituto politécnico da guarda'],['Portugal'],['Europe'],instituto politécnico da guarda,Portugal,Europe
eb52f692193e6744697c4d080d46547c, C. Gonçalves,"['instituto politécnico da guarda', 'instituto politécnico da guarda', 'instituto politécnico da guarda']","['Portugal', 'Portugal', 'Portugal']","['Europe', 'Europe', 'Europe']",instituto politécnico da guarda,Portugal,Europe
4eaea9e32b07417e2f440cf3362b993e, F. Caetano,"['instituto politécnico da guarda', ' IPV CISeD', 'instituto politécnico da guarda', 'ESTG IPG', 'instituto politécnico da guarda', 'UBI   University of Beira Interior Covilhã', 'UBI   University of Beira Interior']","['Portugal', 'Portugal', 'Portugal', '', 'Portugal', 'Portugal', 'Portugal']","['Europe', 'Europe', 'Europe', '', 'Europe', 'Europe', 'Europe']",instituto politécnico da guarda,Portugal,Europe
d42d50dec13f14a3294ccc480aa91767,B. A. Pittí,['Universidad Tecnológica de Panamá'],['Panama'],['Central America'],Universidad Tecnológica de Panamá,Panama,Central America
8bda67e71eb4bbb2d34e08673f3a4f68, Y. Cortez,['Universidad Tecnológica de Panamá'],['Panama'],['Central America'],Universidad Tecnológica de Panamá,Panama,Central America
1992634d1c7f7643818caf5205a5eb2a, M. Chavarría,['Universidad Tecnológica de Panamá'],['Panama'],['Central America'],Universidad Tecnológica de Panamá,Panama,Central America
4dd6cb860bb02385414f28bcdfa0a960, V. Villarreal,['Universidad Tecnológica de Panamá'],['Panama'],['Central America'],Universidad Tecnológica de Panamá,Panama,Central America
0c63515181958ce35a0d9603c6488c5a, L. Muñoz,['Universidad Tecnológica de Panamá'],['Panama'],['Central America'],Universidad Tecnológica de Panamá,Panama,Central America
682d83bda1eb7de6698341e05204627b,M. Abbasi,"['polytechnic institute of coimbra', 'university of coimbra', 'university of coimbra']","['Portugal', 'Portugal', 'Portugal']","['Europe', 'Europe', 'Europe']",polytechnic institute of coimbra,Portugal,Europe
93f8bea0fd2cb59c8b28a3eeb6fbb507, M. Holanda,"['Polytechnic of Viseu', 'University of Brasilia', 'University of Brasilia', 'University of Brasilia', 'University of Brasilia', 'University of Brasilia', 'University of Brasilia', 'Department of Computer Science']","['Portugal', 'Brazil', 'Brazil', 'Brazil', 'Brazil', 'Brazil', 'Brazil', 'Brazil']","['Europe', 'South America', 'South America', 'South America', 'South America', 'South America', 'South America', 'South America']",Polytechnic of Viseu,Portugal,Europe
35b27cf30cb5127003dd71a1b6b0bae7, D. Almeida,"['Polytechnic of Viseu', 'polytechnic institute of coimbra']","['Portugal', 'Portugal']","['Europe', 'Europe']",Polytechnic of Viseu,Portugal,Europe
2353fc5c77396fa65f215c9b4b5b1eb8, F. Cardoso,"['institute for systems engineering and computers', 'institute for systems engineering and computers', 'Escola Superior de Gestão e Tecnologia Politécnico de Santarém Complexo Andaluz', 'Centro Hospitalar do Médio Tejo']","['Portugal', 'Portugal', 'Portugal', 'Portugal']","['Europe', 'Europe', 'Europe', 'Europe']",institute for systems engineering and computers,Portugal,Europe
a2311d74704d771ad6a4ae4015728d2a, J. Silva,"['Polytechnic of Viseu', 'university of aveiro', ' Neadvance Machine Vision SA', ' 3MAPS', 'Instituto Politécnico do Cávado e do Ave (IPCA)', ' CIAUD / RETHINK / IPCB', 'Escola Superior de Tecnologia e Gestão de Viseu', 'Instituto Politécnico do Cávado e do Ave', 'university of minho', 'Instituto Politécnico do Cávado e Ave', 'polytechnic institute of castelo branco', 'EST/IPCA — Esc. Superior de Tecnologia/Instituto Politécnico do Cávado e do Ave', ' Link Consulting S. A.']","['Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal']","['Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe']",Polytechnic of Viseu,Portugal,Europe
818bbe67ec432f5c6e87b6cc3c8fad95, P. Martins,"['Polytechnic of Viseu', 'polytechnic institute of viana do castelo', 'Polytechnic Institute of Viseu', 'Escola Superior de Tecnologia e Gestão de Viseu', 'university of aveiro', 'Universidade de Trás-os-Montes e Alto Douro']","['Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal', 'Portugal']","['Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe']",Polytechnic of Viseu,Portugal,Europe
5b916d6389deeb4edbc61cc6ece6ddaa, B. Nascimento,['Polytechnic of Viseu'],['Portugal'],['Europe'],Polytechnic of Viseu,Portugal,Europe
d03442c21a7be6c0d88c8ce6423fff72, R. Santos,"['Polytechnic of Viseu', 'Escola Superior de Tecnologia e Gestão', 'university of aveiro', 'university of aveiro', ' Programa de Mestrado em Ciência da Computação', 'Department of Computer Science', 'university of minho']","['Portugal', 'Portugal', 'Portugal', 'Portugal', 'Brazil', 'Brazil', 'Portugal']","['Europe', 'Europe', 'Europe', 'Europe', 'South America', 'South America', 'Europe']",Polytechnic of Viseu,Portugal,Europe
bb08c69e8c97f46812f8c9b21e401aa7, F. Sá,"['polytechnic institute of coimbra', 'Polytechnic of Viseu', 'polytechnic institute of coimbra', 'Polytechnic Institute of Viseu', 'universidade de vigo', 'Câmara Municipal de Penacova']","['Portugal', 'Portugal', 'Portugal', 'Portugal', 'Spain', 'Portugal']","['Europe', 'Europe', 'Europe', 'Europe', 'Europe', 'Europe']",polytechnic institute of coimbra,Portugal,Europe
