source,target,year,weight,total
Ecuador,Ecuador,2023,50,50
Brazil,Portugal,2023,34,34
Portugal,Portugal,2023,163,163
Colombia,Colombia,2023,9,9
South Africa,South Africa,2023,2,2
Brazil,Brazil,2023,90,90
Peru,Peru,2023,18,18
Panama,Panama,2023,5,5
Romania,Romania,2023,6,6
España,España,2023,15,15
Paraguay,Paraguay,2023,4,4
Peru,España,2023,8,8
Colombia,España,2023,3,3
España,Portugal,2023,5,5
Austria,Austria,2023,2,2
Czech Republic,Czech Republic,2023,5,5
Norway,Norway,2023,1,1
Norway,Brazil,2023,2,2
Mexico,Mexico,2023,6,6
España,United Arab Emirates,2023,1,1
España,Switzerland,2023,1,1
United Arab Emirates,Switzerland,2023,1,1
Portugal,United States,2023,7,7
Portugal,Iran,2023,6,6
United States,Iran,2023,2,2
Iran,Iran,2023,1,1
Turkey,Turkey,2023,1,1
Saudi Arabia,Saudi Arabia,2023,1,1
Lithuania,Lithuania,2023,7,7
Brazil,Spain,2023,1,1
Portugal,Spain,2023,1,1
Switzerland,Switzerland,2023,1,1
Malaysia,Malaysia,2023,2,2
Malaysia,Indonesia,2023,13,13
Panama,Portugal,2023,4,4
Mexico,Brazil,2023,4,4
Paraguay,España,2023,6,6
Costa Rica,Costa Rica,2023,2,2
Austria,Costa Rica,2023,12,12
Austria,Indonesia,2023,6,6
Costa Rica,Indonesia,2023,2,2
Italy,España,2023,4,4
Italy,Italy,2023,1,1
Italy,United Kingdom,2023,4,4
España,United Kingdom,2023,1,1
Peru,Colombia,2023,6,6
Costa Rica,Colombia,2023,8,8
France,France,2023,1,1
France,Brazil,2023,8,8
Argentina,Argentina,2023,1,1
Brazil,Ireland,2023,16,16
Brazil,United Kingdom,2023,4,4
Brazil,Canada,2023,8,8
United Kingdom,Canada,2023,1,1
Spain,Spain,2023,1,1
United Kingdom,Sri Lanka,2023,1,1
Chile,Chile,2023,1,1
Ecuador,España,2023,1,1
Peru,United States,2023,1,1
Peru,Chile,2023,1,1
United States,Chile,2023,1,1
Brazil,España,2023,3,3
United States,United States,2023,2,2
Jordan,Jordan,2023,1,1
Jordan,Libia,2023,3,3
Germany,Germany,2023,1,1
Mexico,United States,2023,4,4
Puerto Rico,Puerto Rico,2023,1,1
Ecuador,United Kingdom,2023,3,3
Northern Ireland,United Kingdom,2023,1,1
Brazil,United States,2023,5,5
Lithuania,Portugal,2023,2,2
Ecuador,Ecuador,2022,71,121
Colombia,Colombia,2022,9,18
Portugal,Portugal,2022,129,292
Brazil,Brazil,2022,55,145
Peru,Peru,2022,25,43
España,España,2022,26,41
Spain,Spain,2022,2,3
United States,Albania,2022,1,1
Ecuador,Brazil,2022,4,4
Russian,Portugal,2022,1,1
Hungary,Hungary,2022,1,1
Costa Rica,Costa Rica,2022,2,4
Panama,United States,2022,2,2
Panama,España,2022,3,3
United States,United States,2022,1,3
United States,España,2022,6,6
Mexico,Mexico,2022,7,13
Estonia,Estonia,2022,1,1
Portugal,Brazil,2022,31,65
Portugal,Italy,2022,3,3
Brazil,Italy,2022,1,1
Brazil,España,2022,5,8
España,Ecuador,2022,13,14
España,Spain,2022,2,2
Ecuador,Spain,2022,8,8
Chile,Chile,2022,3,4
Argentina,Peru,2022,1,1
Argentina,Germany,2022,1,1
Peru,Germany,2022,1,1
Ecuador,Venezuela,2022,1,1
Portugal,United Kingdom,2022,3,3
Brazil,United Kingdom,2022,4,8
Ecuador,Argentina,2022,6,6
Ecuador,Sweden,2022,3,3
Argentina,Sweden,2022,2,2
Argentina,Argentina,2022,6,7
