source,target,year,weight,total
Universidade Católica de Brasília,university of aveiro,2023,1,4
Universidad Técnica de Machala,Universidad Israel,2023,1,3
Instituto Politécnico de Viseu,university of aveiro,2023,1,2
polytechnic institute of porto,university of minho,2023,1,2
Instituto Superior Técnico (IST),universidade aberta,2023,1,1
instituto universitário de lisboa,Escola de Comércio de Lisboa Lisboa,2023,1,2
Universidade Municipal de São Caetano do Sul São Caetano do Sul (SP),Centro Universitário Campo Limpo Paulista Campo Limpo Paulista (SP),2023,1,1
instituto politécnico da guarda,Instituto Politécnico de Setúbal,2023,1,1
Instituto Politécnico de Setúbal,instituto politécnico da guarda,2023,1,2
polytechnic institute of coimbra,Polytechnic of Viseu,2023,17,26
polytechnic institute of coimbra,institute for systems engineering and computers,2023,1,6
Polytechnic of Viseu,institute for systems engineering and computers,2023,17,22
institute for systems engineering and computers,Polytechnic of Viseu,2023,4,8
Polytechnic of Viseu,polytechnic institute of coimbra,2023,2,10
Universidade de Pernambuco (UPE),Universidade do Estado do Amazonas (UEA),2023,1,1
Universidade do Estado do Amazonas (UEA),Universidade de Pernambuco (UPE),2023,1,2
university of aveiro,instituto universitário de lisboa,2023,1,6
Programa de Pós graduação em Engenharia de Computação (PPGEC) Universidade de Pernambuco (UPE), Fundação de Medicina Tropical Doutor Heitor Vieira Dourado,2023,1,3
Programa de Pós graduação em Engenharia de Computação (PPGEC) Universidade de Pernambuco (UPE),Universidade do Estado do Amazonas (UEA),2023,3,6
 Fundação de Medicina Tropical Doutor Heitor Vieira Dourado,Universidade do Estado do Amazonas (UEA),2023,1,1
 Fundação de Medicina Tropical Doutor Heitor Vieira Dourado,Programa de Pós graduação em Engenharia de Computação (PPGEC) Universidade de Pernambuco (UPE),2023,1,4
Universidade do Estado do Amazonas (UEA),Programa de Pós graduação em Engenharia de Computação (PPGEC) Universidade de Pernambuco (UPE),2023,3,8
Universidade do Vale do Itajaí,Universidade Federal de Santa Catarina,2023,1,1
Universidade Federal de Santa Catarina,Universidade do Vale do Itajaí,2023,1,2
Universidad Externado de Colombia,National Planning Department (DNP),2023,1,2
Universidad Nacional Federico Villareal,Universidad Nacional de Ingenieria,2023,1,1
Universidad Nacional Federico Villareal,Universidad de Alcalá de Henares,2023,1,1
Universidad Nacional de Ingenieria,Universidad de Alcalá de Henares,2023,1,1
Instituto Politécnico de Leiria Leiria,Escola Superior de Tecnologia e Gestão de Leiria Instituto Politécnico de Leiria,2023,1,1
Dpto de doctorado de Informática,Facultad Empresa y Comunicación de la Universidad Internacional de la Rioja,2023,1,1
Doutoranda em Gestão Universidade de Évora,Universidade de Évora,2023,1,1
Universidad Rey Juan Carlos,university of lisbon,2023,1,2
university of lisbon,Universidad Rey Juan Carlos,2023,1,3
Johannes Kepler University Linz (JKU),University of Applied Sciences Upper Austria,2023,1,4
Johannes Kepler University Linz (JKU), Kunstuniversität Linz,2023,1,4
University of Applied Sciences Upper Austria, Kunstuniversität Linz,2023,1,1
university of aveiro,polytechnic institute of bragança,2023,4,8
polytechnic institute of bragança,university of aveiro,2023,4,7
Noroff University College,Federal University of Santa Catarina,2023,1,2
Instituto Maimónides de Investigación Biomédica de Córdoba (IMIBIC) Universidad de Córdoba,Technology Innovation Institute,2023,1,1
Instituto Maimónides de Investigación Biomédica de Córdoba (IMIBIC) Universidad de Córdoba, ETH Zürich,2023,1,1
Technology Innovation Institute, ETH Zürich,2023,1,1
university of lisbon,institute for systems engineering and computers,2023,1,1
institute for systems engineering and computers,university of lisbon,2023,1,2
university of lisbon,Instituto Politécnico de Lisboa (Polytechnic Institute of Lisbon) Ave. Dom João II,2023,1,1
university of lisbon,Polytechnic Institute of Cávado and Ave (IPCA),2023,1,2
university of lisbon,Polytechnic Institute of Portalegre,2023,1,2
Instituto Politécnico de Lisboa (Polytechnic Institute of Lisbon) Ave. Dom João II,university of lisbon,2023,2,3
Instituto Politécnico de Lisboa (Polytechnic Institute of Lisbon) Ave. Dom João II,Polytechnic Institute of Cávado and Ave (IPCA),2023,1,1
Instituto Politécnico de Lisboa (Polytechnic Institute of Lisbon) Ave. Dom João II,Polytechnic Institute of Portalegre,2023,1,1
Polytechnic Institute of Cávado and Ave (IPCA),Polytechnic Institute of Portalegre,2023,1,1
Polytechnic Institute of Cávado and Ave (IPCA),university of lisbon,2023,1,3
Polytechnic Institute of Portalegre,university of lisbon,2023,1,3
polytechnic institute of viana do castelo,Virginia Commonwealth University,2023,1,1
polytechnic institute of viana do castelo,PGU – Persian Gulf University,2023,1,2
Virginia Commonwealth University,PGU – Persian Gulf University,2023,1,2
Virginia Commonwealth University,polytechnic institute of viana do castelo,2023,2,3
PGU – Persian Gulf University,polytechnic institute of viana do castelo,2023,4,6
Federal Institute Catarinense,Federal University of Rio Grande do Sul,2023,1,1
Federal Institute of Triangulo Mineiro (IFTM),polytechnic institute of porto,2023,1,1
Federal Institute of Triangulo Mineiro (IFTM),universidade de vigo,2023,1,1
polytechnic institute of porto,universidade de vigo,2023,1,1
Universidad Tecnológica de Panamá,Universidad Tecnológica de Panamá Panamá,2023,1,1
 Neadvance Machine Vision SA,university of minho,2023,1,10
Univ. of Neuchâtel,Lausanne Univ. Hospital (CHUV),2023,1,1
Universidade Federal de Pernambuco,Universidade Estadual de Pernambuco,2023,1,2
Universiti Malaysia Sabah,Universitas Sari Mulia,2023,7,13
Universitas Sari Mulia,Universiti Malaysia Sabah,2023,4,7
Maestría de Ciencias de la Computación Móvil Universidad Tecnológica de Panamá,Profesor asistente invitado Instituto Politécnico de Leiria,2023,1,1
Maestría de Ciencias de la Computación Móvil Universidad Tecnológica de Panamá,GISES Universidad Tecnológica de Panamá Panamá,2023,1,1
Profesor asistente invitado Instituto Politécnico de Leiria,GISES Universidad Tecnológica de Panamá Panamá,2023,1,1
polytechnic institute of bragança,CICon – Center for Innovation in Construction,2023,1,8
polytechnic institute of bragança, Graniparalelo Construction Vila Pouca de Aguiar,2023,1,4
CICon – Center for Innovation in Construction, Graniparalelo Construction Vila Pouca de Aguiar,2023,1,1
 Graniparalelo Construction Vila Pouca de Aguiar,CICon – Center for Innovation in Construction,2023,1,2
Universidad Popular Autónoma del Estado de Puebla (UPAEP),University of Salvador (UNIFACS),2023,1,4
Universidad Americana,Universidad Pablo de,2023,1,3
Universidad Americana,Universidad Nacional de Asunción,2023,1,3
Universidad Americana,Department of Ophthalmology,2023,1,6
Universidad Pablo de,Universidad Nacional de Asunción,2023,1,1
Universidad Pablo de,Department of Ophthalmology,2023,1,2
Universidad Nacional de Asunción,Department of Ophthalmology,2023,1,2
Universidad Nacional de Asunción San Lorenzo,National University of Caaguazú Cnel. Oviedo,2023,1,4
Universidad Nacional de Asunción San Lorenzo,Universidad Autónoma de Asunción,2023,1,4
Universidad Nacional de Asunción San Lorenzo, Facultad de Ingeniería,2023,1,4
National University of Caaguazú Cnel. Oviedo,Universidad Autónoma de Asunción,2023,1,1
National University of Caaguazú Cnel. Oviedo, Facultad de Ingeniería,2023,1,1
Universidad Autónoma de Asunción, Facultad de Ingeniería,2023,1,1
university of lisbon,polytechnic institute of porto,2023,1,2
university of lisbon,I. Politécnico de Portalegre (Polytechnic Institute of Portalegre),2023,1,2
polytechnic institute of porto,university of lisbon,2023,2,4
polytechnic institute of porto,I. Politécnico de Portalegre (Polytechnic Institute of Portalegre),2023,1,2
Universidad Católica de Santa María,Universidad Nacional de San Agustín,2023,1,1
Universidad Nacional de San Agustín,Universidad Católica de Santa María,2023,1,2
Johannes Kepler University Linz (JKU),Instituto Tecnológico de Costa Rica (TEC) Campus Tecnológico Local San Carlos,2023,1,12
Johannes Kepler University Linz (JKU),School of Electrical Engineering and Informatics,2023,1,6
Instituto Tecnológico de Costa Rica (TEC) Campus Tecnológico Local San Carlos,School of Electrical Engineering and Informatics,2023,1,2
Polytechnic Institute of Cávado and Ave (IPCA),Instituto Superior Técnico (IST) CERENA   Centro de Recursos Naturais e Ambiente (“Centre for Natural Resources and the Environment”),2023,1,3
Instituto Federal de São Paulo (IFSP),Universidade de São Paulo (USP),2023,1,8
MoDiS Research Unit Fondazione Bruno Kessler (FBK),University of Salamanca,2023,1,1
MoDiS Research Unit Fondazione Bruno Kessler (FBK), i3 Research Unit Fondazione Bruno Kessler (FBK),2023,1,1
 MoDiS Research Unit Fondazione Bruno Kessler (FBK),Department of Informatics,2023,1,3
University of Salamanca, i3 Research Unit Fondazione Bruno Kessler (FBK),2023,1,1
University of Salamanca, MoDiS Research Unit Fondazione Bruno Kessler (FBK),2023,2,3
University of Salamanca,Department of Informatics,2023,1,1
 i3 Research Unit Fondazione Bruno Kessler (FBK), MoDiS Research Unit Fondazione Bruno Kessler (FBK),2023,2,3
 i3 Research Unit Fondazione Bruno Kessler (FBK),Department of Informatics,2023,1,1
University of Brasilia,Universidade Federal do ABC (UFABC),2023,1,1
Universidade Federal do ABC (UFABC),University of Brasilia,2023,1,2
Universidade de Trás-os-Montes e Alto Douro,university of aveiro,2023,1,2
Exército Brasileiro,Universidade Católica de Brasília,2023,1,3
Instituto Superior de Engenharia de Lisboa Instituto Politécnico de Lisboa,Instituto Superior de Engenharia de Lisboa e NOVA LINCS Instituto Politécnico de Lisboa,2023,1,2
polytechnic institute of bragança,university of porto,2023,1,3
university of porto,polytechnic institute of bragança,2023,1,4
Universidad Peruana de Ciencias Aplicadas,Pontificia Universidad Javeriana,2023,1,6
Instituto Tecnológico de Costa Rica (TEC),Universidad Nacional Abierta y a Distancia (UNAD),2023,1,8
GILT/ISEP, SIIS/ISEP,2023,1,1
 SIIS/ISEP, GILT/ISEP,2023,1,2
polytechnic institute of coimbra, CASPAE,2023,1,3
 École Pour l’Informatique et les Techniques Avancées,Universidade Federal do Agreste de Pernambuco,2023,1,6
Universidad Indoamérica,Universidad Técnica de Ambato,2023,1,2
Aluna na Escola Superior de Gestão de Tomar,Professor Adjunto na Escola Superior de Gestão de Tomar,2023,1,3
university of aveiro,polytechnic institute of porto,2023,1,8
Universidade Federal de Pernambuco,Universidade de Pernambuco,2023,1,2
polytechnic institute of castelo branco, Do iT Lean,2023,1,8
Programa de Pós graduação em Engenharia de Computação (PPGEC) Universidade de Pernambuco (UPE), Faculdade de Medicina do Sertão (FMS),2023,1,2
Programa de Pós graduação em Engenharia de Computação (PPGEC) Universidade de Pernambuco (UPE),Dublin City University,2023,1,2
Universidade do Estado do Amazonas (UEA), Faculdade de Medicina do Sertão (FMS),2023,1,1
Universidade do Estado do Amazonas (UEA),Dublin City University,2023,1,1
 Faculdade de Medicina do Sertão (FMS),Dublin City University,2023,1,1
 Faculdade de Medicina do Sertão (FMS),Programa de Pós graduação em Engenharia de Computação (PPGEC) Universidade de Pernambuco (UPE),2023,2,4
Dublin City University,Programa de Pós graduação em Engenharia de Computação (PPGEC) Universidade de Pernambuco (UPE),2023,2,4
Universidade Federal de Santa Catarina   UFSC Programa de Pós Graduação em Engenharia e Gestão do Conhecimento (PPGEGC), TraumaPsi Clínica e Consultoria,2023,1,3
Universidade de Pernambuco (UPE),Dublin City University,2023,1,5
Dublin City University,Universidade de Pernambuco (UPE),2023,1,6
university of aveiro,instituto politécnico da guarda,2023,1,1
university of aveiro,Polytechnic of Leiria,2023,1,1
instituto politécnico da guarda,Polytechnic of Leiria,2023,1,1
IFSP Catanduva/UNESP,UNESP/Brock University,2023,1,1
IFSP Catanduva/UNESP, IFSP Catanduva/USP,2023,1,1
IFSP Catanduva/UNESP,University of Manchester,2023,1,1
IFSP Catanduva/UNESP,Brock University,2023,1,1
IFSP Catanduva/UNESP,University of Sao Paulo   USP,2023,1,1
UNESP/Brock University, IFSP Catanduva/USP,2023,1,1
UNESP/Brock University,University of Manchester,2023,1,1
UNESP/Brock University,Brock University,2023,1,1
UNESP/Brock University,University of Sao Paulo   USP,2023,1,1
 IFSP Catanduva/USP,University of Manchester,2023,1,1
 IFSP Catanduva/USP,Brock University,2023,1,1
 IFSP Catanduva/USP,University of Sao Paulo   USP,2023,1,1
University of Manchester,Brock University,2023,1,1
University of Manchester,University of Sao Paulo   USP,2023,1,1
Brock University,University of Sao Paulo   USP,2023,1,1
Federal University of Paraíba,university of minho,2023,1,1
university of minho,Federal University of Paraíba,2023,1,2
Internship XC AD/ENG34 Brg Bosch Car Multimedia,university of minho,2023,1,1
Internship XC AD/ENG34 Brg Bosch Car Multimedia, XC AD/ENG34 Brg Bosch Car Multimedia,2023,1,1
university of minho, XC AD/ENG34 Brg Bosch Car Multimedia,2023,1,1
Instituto de Biociências,Universidade Estadual Paulista “Júlio de Mesquita Filho”,2023,1,1
Instituto de Biociências,Humber Institute of Technology and Advanced Learning,2023,1,3
Universidade Estadual Paulista “Júlio de Mesquita Filho”,Instituto de Biociências,2023,2,3
Universidade Estadual Paulista “Júlio de Mesquita Filho”,Humber Institute of Technology and Advanced Learning,2023,1,1
Oversight of Generation Services Superintendence Brazilian Electricity Regulatory Agency,University of Brasilia,2023,1,2
Universidade de São Paulo,Universidade de Campinas,2023,1,2
Instituto Federal de Pernambuco,Universidade Federal de Pernambuco,2023,1,2
Universidade Federal de Pernambuco,Instituto Federal de Pernambuco,2023,1,3
ISEL   Instituto Superior de Engenharia de Lisboa,institute for systems engineering and computers,2023,1,2
Universidade Federal de Sergipe, École Pour l’Informatique et les Techniques Avanceés (EPITA),2023,1,2
Federal University of Uberlândia, Eletronorte,2023,1,12
polytechnic institute of viana do castelo,university of porto,2023,1,2
Universidade Federal Rural de Pernambuco (UFRPE),Universidade Federal do Piauí (UFPI),2023,1,2
Maestría en Ciencias en Computación Móvil Universidad Tecnológica de Panamá,Universidad Tecnológica de Panamá,2023,1,1
Maestría en Ciencias en Computación Móvil Universidad Tecnológica de Panamá,Polytechnic Institute of Leiria,2023,1,1
Universidad Tecnológica de Panamá,Polytechnic Institute of Leiria,2023,1,1
Computing Institute Federal University of Alagoas,Federal University of Campina Grande,2023,3,8
Federal University of Campina Grande,Computing Institute Federal University of Alagoas,2023,2,6
Universidade de Pernambuco,Universidade Federal Rural de Pernambuco,2023,1,15
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca (CEFET/RJ),university of aveiro,2023,1,2
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca (CEFET/RJ),Cesar School,2023,1,7
Universidade Federal de Pernambuco,Universidade Federal de Alagoas,2023,1,1
Universidade Federal de Alagoas,Universidade Federal de Pernambuco,2023,1,2
Instituto Federal do Acre (IFAC),Universidade Federal Rural do Semi Árido,2023,1,2
Instituto Federal do Acre (IFAC),Instituto Federal do Ceará (IFCE),2023,1,3
Instituto Federal do Acre (IFAC), Crevettic,2023,1,1
Universidade Federal Rural do Semi Árido,Instituto Federal do Ceará (IFCE),2023,3,6
Universidade Federal Rural do Semi Árido, Crevettic,2023,1,2
Instituto Federal do Ceará (IFCE),Universidade Federal Rural do Semi Árido,2023,1,4
Instituto Federal do Ceará (IFCE), Crevettic,2023,1,1
 Crevettic,Instituto Federal do Ceará (IFCE),2023,2,3
university of aveiro,Universidade de Fortaleza,2023,1,3
University of Pernambuco (UPE),Universidade Federal Rural de Pernambuco,2023,1,1
Universidade Federal Rural de Pernambuco,University of Pernambuco (UPE),2023,1,2
University of Westminster,Informatics Institute of Technology,2023,1,1
Universidade de Pernambuco, COMEIALABS Caruaru,2023,1,5
São Paulo State University – UNESP,Humber Institute of Technology and Advanced Learning,2023,1,4
Universidade do Vale do Itajaí (UNIVALI),Lusófona University of Humanities and Technologies,2023,1,3
Universidade do Vale do Itajaí (UNIVALI),Universidade da Beira Interior,2023,1,3
