source,target,year,weight,total
0408ee0d9ae6fe794e6452d931a3f867,328aa5d5865f02c5eef5d29935baba7d,2023,1,1
0408ee0d9ae6fe794e6452d931a3f867,4a159f47b7f8ce46f3053dde109e4edd,2023,1,1
328aa5d5865f02c5eef5d29935baba7d,4a159f47b7f8ce46f3053dde109e4edd,2023,1,1
de4b97dbe91ba215e4b75ef5e14bdd3d,59d20d1234afd896fe0f9f131c263bb7,2023,2,2
de4b97dbe91ba215e4b75ef5e14bdd3d,90e303be7694c35ea935fe635aa7c5de,2023,2,2
59d20d1234afd896fe0f9f131c263bb7,90e303be7694c35ea935fe635aa7c5de,2023,2,2
e6b01ffe99b833bf4b0a5ae4dbfdb523,415cf41fdffe25dbf49b41494ac568e2,2023,1,1
4b3cdd326efcb8bb94a633bb5f6bf99f,202e966f9590e97882df818323198ff2,2023,1,1
4b3cdd326efcb8bb94a633bb5f6bf99f,6e6913dd90f1cc3dc0a1eecfa9803627,2023,1,1
4b3cdd326efcb8bb94a633bb5f6bf99f,d69288b923cbdd304cf742a59a851140,2023,1,1
202e966f9590e97882df818323198ff2,6e6913dd90f1cc3dc0a1eecfa9803627,2023,1,1
202e966f9590e97882df818323198ff2,d69288b923cbdd304cf742a59a851140,2023,1,1
6e6913dd90f1cc3dc0a1eecfa9803627,d69288b923cbdd304cf742a59a851140,2023,1,1
22fe41ac46b1507e0054623c1ac031bd,fb0395b4eb4c3459dc044dc42bf03123,2023,1,1
22fe41ac46b1507e0054623c1ac031bd,5f77954a9b8e7cdc9c2a06036143b5af,2023,1,1
fb0395b4eb4c3459dc044dc42bf03123,5f77954a9b8e7cdc9c2a06036143b5af,2023,1,1
aa6653ff3ba7ffff3fa0db5169c15ab1,a814986d62ce44d019915e70ed7752bb,2023,1,1
aa6653ff3ba7ffff3fa0db5169c15ab1,0619fe50d88cb7be6c8b1506b2d07844,2023,1,1
a814986d62ce44d019915e70ed7752bb,0619fe50d88cb7be6c8b1506b2d07844,2023,1,1
9f1010e516eebac2ca4a3d16dcc7ecf0,aa6653ff3ba7ffff3fa0db5169c15ab1,2023,1,1
9f1010e516eebac2ca4a3d16dcc7ecf0,ced0658807157ee2d482e6225f434b21,2023,1,1
aa6653ff3ba7ffff3fa0db5169c15ab1,ced0658807157ee2d482e6225f434b21,2023,1,1
77dd63bd4388abf7a8d3f9bddd82d0e9,f5492e0be5ba92a2c3965017cdfe9b72,2023,1,1
b9071b3c68ea7a76bff15a7b4712150d,8c0cdc726fa528b7fb842032f8d78438,2023,1,1
b9071b3c68ea7a76bff15a7b4712150d,11b258d53a8d9fcbb8f717ea0fd4a279,2023,1,1
8c0cdc726fa528b7fb842032f8d78438,11b258d53a8d9fcbb8f717ea0fd4a279,2023,1,1
c6d5bf683353e8ac910e0adcb6c43d83,2507fd2c15b2cbdc9fd822faf6dbba25,2023,1,1
2ced76369f320154b107b32fee546ce4,260d2750b2b23fe74078d911cc2ad138,2023,1,1
2ced76369f320154b107b32fee546ce4,a5ed4455becda2d030a1f15c2e9dfb9a,2023,1,1
260d2750b2b23fe74078d911cc2ad138,a5ed4455becda2d030a1f15c2e9dfb9a,2023,1,1
40d75720a6d2f333d01751a391dd6d7e,3208d4f31fe0da4b7335ae026b2da18b,2023,1,1
9278c961178d2224d04826a135b7a0f5,fb0395b4eb4c3459dc044dc42bf03123,2023,1,1
9278c961178d2224d04826a135b7a0f5,5182ee3de7c6832e7576169812f26c01,2023,1,1
fb0395b4eb4c3459dc044dc42bf03123,5182ee3de7c6832e7576169812f26c01,2023,1,1
ac48be6f2704493927193ce0573bcf6c,5ee8810dcb526063252a63da3ed2e7b4,2023,1,1
21f52dd747b2aedf50f2efeec762cbf8,95e2ff8a4eac89bd518885e488af3a04,2023,1,1
ed7be61ec4657c224199dd6127b15e27,7af253dfaa324ba13f85b4fb3fd9b183,2023,1,1
ed7be61ec4657c224199dd6127b15e27,0ac0c5958ca1234a8b3d4223b224ff9a,2023,1,1
7af253dfaa324ba13f85b4fb3fd9b183,0ac0c5958ca1234a8b3d4223b224ff9a,2023,1,1
a6490a73fc37004f2f6b276e4b4ff860,e1be2502a68a6c7b6b52d88a46df0872,2023,1,1
a6490a73fc37004f2f6b276e4b4ff860,8236b523d3ba74e82736a5ee0b57d97d,2023,1,1
e1be2502a68a6c7b6b52d88a46df0872,8236b523d3ba74e82736a5ee0b57d97d,2023,1,1
71a98f1faf19684abbf863c1c8278552,afdb85eaea71c757731591036cd9c840,2023,1,1
71a98f1faf19684abbf863c1c8278552,eb52f692193e6744697c4d080d46547c,2023,1,1
71a98f1faf19684abbf863c1c8278552,4eaea9e32b07417e2f440cf3362b993e,2023,1,1
71a98f1faf19684abbf863c1c8278552,ed7be61ec4657c224199dd6127b15e27,2023,1,1
afdb85eaea71c757731591036cd9c840,eb52f692193e6744697c4d080d46547c,2023,1,1
afdb85eaea71c757731591036cd9c840,4eaea9e32b07417e2f440cf3362b993e,2023,1,1
