id,name,country,region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,total
universidadtécnicaparticulardeloja,universidad técnica particular de loja,south america,ecuador,2,0,0,0,3,14,26,40,46,26,22,32,49,23,283
universityofaveiro,university of aveiro,europe,portugal,8,15,5,9,11,24,8,15,16,35,20,19,22,52,259
universityofminho,university of minho,europe,portugal,11,16,13,19,11,15,21,12,13,13,9,15,13,13,194
institutouniversitáriodelisboa,instituto universitário de lisboa,europe,portugal,0,5,2,1,3,7,10,26,21,22,12,12,10,14,145
universityofbrasilia,University of Brasilia,south america,brazil,1,2,4,1,7,10,10,22,6,5,13,13,24,14,132
universityofporto,university of porto,europe,portugal,15,16,11,18,9,11,11,6,10,11,2,5,3,3,131
polytechnicinstituteofcoimbra,polytechnic institute of coimbra,europe,portugal,1,1,0,2,2,0,1,0,5,17,13,27,21,22,112
universityoflisbon,university of lisbon,europe,portugal,1,4,6,6,5,9,6,12,6,16,7,13,10,11,112
universidadedevigo,universidade de vigo,europe,spain,7,9,10,8,6,14,8,7,8,7,2,3,2,2,93
polytechnicinstituteofbragança,polytechnic institute of bragança,europe,portugal,1,4,2,3,1,2,1,4,9,5,3,19,15,19,88
universidadedetrás-os-montesealtodouro,Universidade de Trás-os-Montes e Alto Douro,europe,portugal,4,7,5,3,5,4,10,9,13,7,0,6,4,3,80
universityofcoimbra,university of coimbra,europe,portugal,4,3,1,4,8,10,6,11,11,9,2,2,0,1,72
9b0d6e278ac515c4bc932c5f3bafe2bc,Universidad de Medellin,south america,colombia,0,0,2,3,5,5,5,7,8,11,14,1,2,0,63
466fbce29e48ed739b8896e15fa3c112,Universidad Politécnica de Madrid,europe,españa,7,3,12,4,3,5,5,3,2,6,0,3,8,1,62
universidaddelasfuerzasarmadasespe,Universidad de Las Fuerzas Armadas ESPE,south america,ecuador,0,0,0,0,0,0,1,7,11,8,23,1,2,1,54
instituteforsystemsengineeringandcomputers,institute for systems engineering and computers,europe,portugal,2,4,3,5,4,4,1,4,5,5,2,5,1,8,53
polytechnicinstituteofcastelobranco,polytechnic institute of castelo branco,europe,portugal,0,2,3,2,2,4,3,4,3,8,6,4,7,5,53
