id,name,country,region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,total
8c43b4f849801aed77795f8447ff8f70, L. P. Reis,portugal,europe,9,8,6,6,4,6,13,3,1,0,0,0,0,0,56
a4c7d965a60adecd24713a56adfd0249, I. Pedrosa,portugal,europe,0,0,1,0,0,2,3,1,4,5,9,16,10,3,54
fb0395b4eb4c3459dc044dc42bf03123, B. Alturas,portugal,europe,0,1,2,1,1,2,4,9,6,8,6,5,2,5,52
6d5a38aa7937b54eeee5dbc49dc9f948, R. Gonçalves,portugal,europe,1,3,2,4,4,4,6,4,7,5,0,4,1,0,45
ef881d79ef2862c954931f421587c89c, A. Rocha,portugal,europe,2,2,1,3,4,6,4,5,7,4,1,1,1,2,43
83c484fb066446dcc48a01adae51cd04,P. A. Quezada- Sarmiento,ecuador,south america,0,0,0,0,0,0,0,14,14,10,1,0,3,0,42
93f8bea0fd2cb59c8b28a3eeb6fbb507, M. Holanda,portugal,europe,0,1,3,0,2,5,4,2,2,2,2,4,3,2,32
61cc2eead3248da1faeba0243658ffb5, C. J. Costa,portugal,europe,0,0,0,0,0,2,0,6,5,6,3,3,4,2,31
1deeba70167b8c1b434b8ea9d48493c4, R. Soto,chile,south america,0,0,0,0,2,11,12,1,4,1,0,0,0,0,31
f8b2c185f2142c1f02058d7de7b8db84, F. Moreira,portugal,europe,1,1,1,1,1,1,2,2,6,3,4,2,4,1,30
ec492620a502b9b632be215d8b5da3d3, B. Crawford,chile,south america,0,0,0,0,2,11,12,1,3,1,0,0,0,0,30
9b6872506fb6379bcfd618ad53d21a88, M. P. Cota,spain,europe,3,1,5,1,5,0,5,2,2,1,2,1,1,0,29
b15d9ce25ab364e053892b45c0667129, J. Bernardino,portugal,europe,0,2,0,1,0,1,0,1,4,7,6,7,0,0,29
557937dc2139bbfcf2d0d530a6fb558d, H. Gil,portugal,europe,0,1,1,2,3,2,2,3,2,2,2,2,3,2,27
a814986d62ce44d019915e70ed7752bb, J. Martins,portugal,europe,1,0,1,0,3,2,5,1,6,0,0,4,2,1,26
69444cc2ceccb3bcd56345d71c0eddc7, R. M. S. Laureano,portugal,europe,0,0,0,1,1,4,2,3,6,2,1,3,1,2,26
cece2b671cf057a2d074c16d06908067, F. Branco,portugal,europe,0,0,0,1,0,2,5,1,8,3,0,3,1,0,24
dfe4b451997c6398b92189fded585c5e, T. Guarda,ecuador,south america,0,0,0,1,0,0,1,3,8,9,1,1,0,0,24
c638655364d359e0be69c121437140be, J. A. Fabri,brazil,south america,0,0,2,2,3,5,8,4,0,0,0,0,0,0,24
b62ce9bbe2c544975881b37a10e471e1, G. P. Dias,portugal,europe,2,3,0,1,2,1,1,0,1,1,1,1,3,5,22
6db8dfc46443c802c87a2f842e1fc242, R. T. de Sousa,brazil,south america,0,0,0,1,4,2,2,1,2,2,3,2,1,1,21
fae081a92538bbaae52457a1bea98b11, A. S. Gomes,portugal,europe,0,2,1,1,2,3,0,9,0,0,2,0,1,0,21
47e5be90bd3653635f75d70a7849b67d, A. L'Erario,brazil,south america,0,1,0,2,3,5,6,4,0,0,0,0,0,0,21
dada0996f9fff077b4a667b2393e17a1, B. M. Faria,portugal,europe,0,1,1,1,3,4,9,2,0,0,0,0,0,0,21
9595957788f5a38c3b9441ffe0d6d20c, L. Oliveira,portugal,europe,1,1,2,1,0,0,2,5,0,2,0,1,4,1,20
59bf8897180dde86ca1b6295028eb404, V. F. Martins,brazil,south america,0,0,0,2,3,3,0,4,0,0,2,3,1,1,19
f86e0636396a08719d310196f5386d37, M. Au-Yong-Oliveira,portugal,europe,0,0,0,0,0,0,0,2,5,4,2,2,3,1,19
05fb73b8047e14f8e9ad24ca1b9ddfc3,A. Sousa,portugal,europe,2,4,1,2,0,4,1,1,1,1,1,0,1,0,19
2bd397bd673c9007c8f0e8ee44080c7c,M. M. Teixeira,brazil,south america,0,0,0,0,0,0,1,8,4,3,1,1,1,0,19
0dbca7560d4ebd8fb97cd81448513fb2, V. -A. Martínez-Fernández,españa,europe,0,0,0,0,0,3,1,3,1,3,3,3,2,0,19
d3c21c2c86ecc03560c3c379a2cce0d0, R. J. F. Rossetti,portugal,europe,1,3,3,2,3,2,3,0,2,0,0,0,0,0,19
86261e10adc0873965a23ba02f698ad9, P. Sousa,portugal,europe,0,0,0,2,0,1,0,0,2,2,3,2,3,3,18
1f18ca3d5c0ac42ff99a32792951f64e, V. Santos,portugal,europe,0,3,2,2,2,0,2,2,0,2,2,1,0,0,18
637aa023b5c7743560a1d59d93b8da37, D. Fonseca,españa,europe,3,2,2,2,2,1,1,1,1,2,1,0,0,0,18
a2311d74704d771ad6a4ae4015728d2a, J. Silva,portugal,europe,0,0,0,1,0,1,0,1,3,1,0,4,1,5,17
04580a41aaed94874803edcd0da3c36b, L. Enciso,ecuador,south america,0,0,0,0,0,0,0,3,6,4,0,0,0,4,17
78e37f421fee5921b47df76955794091,L. Romero,argentina,south america,1,0,1,1,1,1,1,1,1,1,1,2,4,1,17
54654ed26de0e28900b85c9a5dc0cb82, A. Oliveira,portugal,europe,0,1,0,2,1,0,3,3,0,1,0,1,3,2,17
3e9f5ed1e2b94025e90e0f88bfd227e7,A. Pereira,portugal,europe,1,1,2,0,1,2,2,5,1,1,0,1,0,0,17
3f85ec259453046ceff449a5c98bb4e1, P. Ramírez-Correa,chile,south america,0,0,0,0,0,0,0,0,5,7,5,0,0,0,17
164633a635dce1ba7dbcbe9c39bfaf41, J. Araujo,brazil,south america,0,0,0,0,0,0,0,1,1,0,0,6,2,6,16
f88608875bc9664b5ddd27fe30363219,R. S. Lobato,brazil,south america,2,1,0,0,1,0,0,2,0,0,3,4,1,2,16
9396051c83d94dfb2b8453d44a7719e6, R. Spolon,brazil,south america,2,1,0,0,1,0,0,2,0,0,3,4,1,2,16
895adfe525d16225466fdfd232f5350e, J. Alfaro-Pérez,chile,south america,0,0,0,0,0,0,0,0,5,7,3,0,1,0,16
608035826be6bd79ff4c8fcb86156a96,C. Silva,portugal,europe,0,2,1,1,2,0,1,5,2,1,0,0,1,0,16
411053fada0e74720fde170f2abaae9b, J. A. Calvo-Manzano,españa,europe,3,2,5,1,0,1,1,2,1,0,0,0,0,0,16
2a08e0090abef4e3cc58e6cb748eea77,M. Casquilho,portugal,europe,0,0,1,1,1,1,1,1,1,2,1,1,1,3,15
d0c9efb898fe371056ee7787fc7fd1ca,P. Dias,portugal,europe,0,2,0,0,1,0,1,0,1,3,2,3,1,1,15
c0df60f6a8fc7753254d6d9f06b9cd53,D. J. Lancheros-Cuesta,colombia,south america,0,0,0,1,1,2,3,0,3,2,2,1,0,0,15
3f44065a21f7ccd0183b1fc6c1597da9,A. Suing,ecuador,south america,0,0,0,0,0,2,2,1,2,2,3,3,0,0,15
d5df32fc571cf1a96f10e1de68f443a6, I. J. de Melo Filho,brazil,south america,0,2,1,1,1,2,0,5,1,2,0,0,0,0,15
b8abbfc69282cd6fd98df6f6967519ec, P. Alves,portugal,europe,0,2,1,2,1,1,0,1,1,0,2,2,0,1,14
